45407	935	12
45408	935	528
45409	935	28
45410	935	21
45411	935	561
45412	935	397
45413	935	3
45414	935	1045
45415	935	2636
45416	935	2898
45417	935	2688
45418	935	1463
45419	935	2419
45431	935	2636
45432	935	2911
45433	935	2854
45434	935	2993
45435	935	3010
45436	935	3215
45437	935	2992
45438	935	3170
45439	935	2725
45440	935	2947
45441	935	2704
45442	935	582
45444	935	2743
45445	935	2960
45446	935	2879
45447	935	2685
45448	935	1290
45449	935	34
45450	935	2917
45451	935	2743
45452	935	2817
45453	935	1070
45454	935	3216
45455	935	2946
45456	935	2663
45457	935	2659
45458	935	2761
45459	935	2607
45460	935	2698
45525	935	2479
45527	935	2983
45528	935	2909
45531	935	3185
45532	935	2877
45533	935	2834
45534	935	2792
45535	935	2828
45536	935	251
45537	935	2888
45538	935	2722
45539	935	1301
45543	935	3397
45544	935	3405
45546	935	1788
45547	935	2793
45548	935	2939
45549	935	2829
45552	935	2570
45554	935	2374
45557	935	2822
45559	935	2557
45561	935	3149
45563	935	952
45565	935	620
45566	935	27
45567	935	2092
45568	935	2792
45569	935	3140
45570	935	3129
45572	935	2953
45573	935	3183
45574	935	1099
45576	935	2910
45577	935	3025
45578	935	2876
45579	935	2979
45580	935	2986
45586	935	2519
45587	935	2992
45589	935	2513
45591	935	2614
45594	935	2908
45595	935	1856
45598	935	2617
45599	935	2866
45600	935	2942
45601	935	2833
45602	935	2856
45616	945	2365
45617	945	2493
45618	945	2490
45619	945	2717
45620	945	2764
45621	945	2623
45622	945	2670
45623	945	2624
45624	945	2609
45625	945	2843
45627	945	2663
45628	945	2923
45629	945	2851
45630	945	2746
45631	945	2681
45633	945	2696
45634	945	2839
45635	945	1165
45637	945	2345
45638	945	1878
45639	945	2166
45640	945	2204
45641	945	1349
45642	945	1624
45643	945	2117
45644	945	1495
45645	945	2411
45646	945	2370
45647	945	2072
45663	945	247
45664	945	1213
45665	945	605
45667	945	2352
45668	945	2203
45669	945	2764
45670	945	260
45671	945	2810
45672	945	2588
45673	945	2783
45674	945	1018
45675	945	1098
45676	945	499
45677	945	2870
45678	945	1489
45679	945	2805
45680	945	2619
45681	945	3044
45682	945	3122
45683	945	3010
45684	945	3185
45685	945	3112
45686	945	3440
45687	945	1021
45688	945	2098
45689	945	2576
45690	945	3541
45691	945	3454
45692	945	3211
45693	945	470
45695	945	1007
45696	945	2853
45697	945	3155
45698	945	2986
45699	945	3154
45700	945	3185
45701	945	3128
45702	945	3247
45703	945	3131
45704	945	3239
45705	945	3450
45706	945	3084
45707	945	3247
45708	945	3232
45709	945	3330
45710	945	3071
45711	945	3079
45712	945	3037
45713	945	3282
45714	945	3069
45715	945	3045
45716	945	3032
45717	945	3148
45718	945	3272
45720	945	2883
45721	945	2934
45722	945	3305
45723	945	827
45725	945	3141
45726	945	2997
45727	945	2965
45728	945	3263
45729	945	898
45730	945	3300
45731	945	3192
45732	945	3089
45733	945	2530
45734	945	35
45735	945	3280
45736	945	3263
45737	945	3366
45738	945	3198
45739	945	3148
45740	945	3058
45741	945	3166
45742	945	3048
45743	945	3203
45744	945	3287
45745	945	3400
45746	945	3053
45748	945	1449
45754	945	2407
45755	945	2812
45756	945	2652
45757	945	2577
45758	945	2968
45759	945	3068
45760	945	3124
45761	945	3259
45762	945	3116
45763	945	3310
45764	945	3426
45765	945	3417
45767	945	2720
45769	945	3253
45770	945	3190
45771	945	3307
45772	945	3354
45773	945	3357
45774	945	3302
45775	945	3336
45776	945	3162
45777	945	3438
45778	945	3494
45779	945	3378
45781	945	3353
45782	945	3247
45783	945	3245
45784	945	3068
45785	945	2783
45786	945	2843
45799	945	2977
45800	945	2913
45801	945	3415
45802	945	2977
45803	945	3116
45804	945	2899
45805	945	2714
45806	945	3167
45807	945	3141
45808	945	3226
45809	945	2958
45810	945	2899
45811	945	3135
45812	945	2564
45813	945	2772
45814	945	2149
45820	945	3061
45821	945	598
45822	945	3066
45823	945	2951
45824	945	2914
45825	945	434
45826	945	3319
45827	945	1101
45829	945	3148
45830	945	3266
45831	945	3356
45832	945	3381
45833	945	3146
45834	945	3095
45835	945	2829
45836	945	2807
45837	945	2946
45838	945	2382
45839	945	2951
45840	945	2523
45841	945	2656
45842	945	2718
45843	945	3022
45844	945	3169
45845	945	3196
45848	950	52
45850	950	1793
45851	950	3013
45852	950	2514
45853	950	2362
45854	950	3115
45855	950	3222
45856	950	3013
45857	950	3521
45858	950	3487
45859	950	3532
45860	950	3658
45861	950	3571
45862	950	3600
45863	950	3570
45864	950	3473
45865	950	3568
45866	950	3531
45867	950	3537
45868	950	3458
45869	950	3443
45870	950	3302
45871	950	3607
45872	950	42
45873	950	502
45874	950	3212
45875	950	2209
45876	950	1506
45877	950	3277
